"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","JPN.NGDPDPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","40746.901","41560.163","41233.597","41643.614","35565.979","35224.682","33820.260","35973.152"
"IMF.RES:WEO(9.0.0)","ERI.LP.A","OBS_VALUE","Eritrea, The State of","Population, Persons for countries / Index for country groups","Annual","Millions","3.453","3.497","","","","","",""
"IMF.RES:WEO(9.0.0)","AND.NGDPDPC.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","42229.903","40688.491","36973.845","41806.876","41378.881","44483.604","46409.851","50378.881"
"IMF.RES:WEO(9.0.0)","G163.BCA_NGDPD.A","OBS_VALUE","Euro Area (EA)","Current account balance (credit less debit), Percent of GDP","Annual","Units","2.940","2.377","1.838","2.720","-0.211","1.658","2.669","1.601"
"IMF.RES:WEO(9.0.0)","IRL.PCPIPCH.A","OBS_VALUE","Ireland","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.740","0.876","-0.476","2.424","8.070","5.190","1.339","2.065"
"IMF.RES:WEO(9.0.0)","MLT.LP.A","OBS_VALUE","Malta","Population, Persons for countries / Index for country groups","Annual","Millions","0.475","0.493","0.515","0.516","0.520","0.542","0.553","0.563"
"IMF.RES:WEO(9.0.0)","PRT.LP.A","OBS_VALUE","Portugal","Population, Persons for countries / Index for country groups","Annual","Millions","10.335","10.354","10.385","10.408","10.469","10.578","10.695","10.770"
"IMF.RES:WEO(9.0.0)","PRT.PCPIPCH.A","OBS_VALUE","Portugal","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.167","0.298","-0.120","0.943","8.100","5.265","2.671","2.195"
"IMF.RES:WEO(9.0.0)","MLT.PCPIPCH.A","OBS_VALUE","Malta","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.740","1.522","0.789","0.704","6.133","5.563","2.439","2.409"
"IMF.RES:WEO(9.0.0)","ISL.LP.A","OBS_VALUE","Iceland","Population, Persons for countries / Index for country groups","Annual","Millions","0.342","0.349","0.354","0.358","0.365","0.375","0.384","0.389"
"IMF.RES:WEO(9.0.0)","IRL.LP.A","OBS_VALUE","Ireland","Population, Persons for countries / Index for country groups","Annual","Millions","4.920","4.995","5.053","5.122","5.240","5.329","5.420","5.497"
"IMF.RES:WEO(9.0.0)","ISL.PCPIPCH.A","OBS_VALUE","Iceland","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.677","3.006","2.848","4.458","8.307","8.740","5.859","4.087"
"IMF.RES:WEO(9.0.0)","GRC.NGDPDPC.A","OBS_VALUE","Greece","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","19867.086","19332.053","17839.122","20456.642","20853.518","23335.570","24688.425","27040.815"
"IMF.RES:WEO(9.0.0)","ISL.BCA_NGDPD.A","OBS_VALUE","Iceland","Current account balance (credit less debit), Percent of GDP","Annual","Units","4.438","7.376","1.864","-2.580","-1.717","-1.228","-3.244","-3.585"
"IMF.RES:WEO(9.0.0)","FIN.PCPIPCH.A","OBS_VALUE","Finland","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.168","1.136","0.382","2.069","7.171","4.340","0.976","1.820"
"IMF.RES:WEO(9.0.0)","GRC.BCA_NGDPD.A","OBS_VALUE","Greece","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.524","-2.088","-7.180","-7.181","-10.747","-6.801","-7.157","-5.683"
"IMF.RES:WEO(9.0.0)","GRC.LP.A","OBS_VALUE","Greece","Population, Persons for countries / Index for country groups","Annual","Millions","10.741","10.725","10.719","10.679","10.462","10.414","10.376","10.372"
"IMF.RES:WEO(9.0.0)","NZL.BCA_NGDPD.A","OBS_VALUE","New Zealand","Current account balance (credit less debit), Percent of GDP","Annual","Units","-4.310","-2.902","-0.991","-5.784","-9.019","-6.253","-4.677","-3.673"
"IMF.RES:WEO(9.0.0)","AUS.BCA_NGDPD.A","OBS_VALUE","Australia","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.626","-0.130","1.562","2.281","0.301","-0.417","-2.245","-2.630"
"IMF.RES:WEO(9.0.0)","TUR.PCPIPCH.A","OBS_VALUE","Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","16.314","15.180","12.272","19.608","72.300","53.858","58.505","34.883"
"IMF.RES:WEO(9.0.0)","MLT.NGDPDPC.A","OBS_VALUE","Malta","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","34035.110","33145.433","31837.431","38253.047","36437.565","41752.063","45295.230","49297.136"
"IMF.RES:WEO(9.0.0)","ESP.BCA_NGDPD.A","OBS_VALUE","Spain","Current account balance (credit less debit), Percent of GDP","Annual","Units","1.877","2.129","0.789","0.773","0.419","2.732","3.179","2.891"
